names,described as,image 1,image 2
Sunset Trading Cottage Narrow Side Table | Raftwood,"['accent furniture', 'end tables', 'narrow side table', 'Narrow Side Table Raftwood', 'nightstands', 'side table', 'sunset trading']",https://st.hzcdn.com/fimgs/4111eef00e7b1ddf_9265-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/b3013ef00e7b1de3_9265-w65-h65-b1-p0--.jpg
Coaster Oswego Round Industrial Bistro Table,"['bistro table', 'bronze bistro table', 'bronze dining table base', 'dinette', 'dining table', 'leg base', 'metal and wood dinig table', 'metal base', 'metal dining table', 'Pub & Bistro Tables', 'pub table', 'round dining table', 'seats 2', 'traditional', 'Tray Top', 'wood top', 'wood top dining table']",https://st.hzcdn.com/fimgs/ef0140cb073dd9fc_3698-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/02c18ecb07322ba1_3698-w65-h65-b0-p0--.jpg
Dining Table White,['global furniture dining table white 570'],https://st.hzcdn.com/fimgs/874122a5083da872_1474-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/a8819d7408249f58_1474-w65-h65-b0-p0--.jpg
"Studio Design Camber Collection Round Clear Glass Side Table, Pewter","['consoles table', 'end table', 'glass table', 'occasional table', 'Sofa tables']",https://st.hzcdn.com/fimgs/3281497007211e30_7966-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/cc112e700c0561c3_7966-w65-h65-b0-p0--.jpg
Sanctuary Refectory Table Ebony and Drift,"['claude dining table', 'claude refectory dining table', 'dining table', 'table', 'traditional', 'traditional dining table', 'traditional table', 'wood dining table', 'wood table', 'wooden dining table']",https://st.hzcdn.com/fimgs/187114640fea4a32_6857-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/422139620fea4a32_0153-w65-h65-b1-p0--.jpg
"Titian Rustic Gray End Table, 20W X 17.7D X 22H, Rustic Gray","['gray', 'shelves', 'square', 'transitional', 'wood', 'wood rectangular', 'wood top']",https://st.hzcdn.com/fimgs/fa3105150ae88a23_7684-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/9eb1507f0ae88a29_7684-w65-h65-b1-p0--.jpg
Modrest Pyrite Modern Round Glass Dining Table,"['chrome', 'clear', 'dining table', 'glass', 'steel']",https://st.hzcdn.com/fimgs/6881b0b80b687d0f_3696-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/251189560b687d0f_3696-w65-h65-b0-p0--.jpg
"vidaXL Solid Mango Wood Dining Table 70.8"" Home Dinner Room Kitchen Table","['brown', 'dining room table', 'dining room tables', 'dining table', 'dining tables', 'dinner table', 'dinner tables', 'furniture', 'Kitchen & Dining Room Tables', 'kitchen table', 'kitchen tables', 'new', 'table', 'tables', 'vidaxl', 'wood', 'wooden dining table', 'Wooden Dining Tables']",https://st.hzcdn.com/fimgs/1311bbd80ec74a71_9237-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/60c1f94b0ec74a72_9237-w65-h65-b1-p0--.jpg
"Emily Industrial Tulip Oak Wood Top Round Dining Table 60""","['60 Inch Round Table', '60 round pedestal table', 'brass trim dining table', 'industrial', 'industrial dining table', 'industrial wood iron', 'oak table', 'oak wood round table', 'oak wood top', 'round dining tables 60', 'round kitchen table', 'round tulip', 'Round Tulip Table', 'salvaged oak wood top', 'tulip', 'tulip table', 'wood round table']",https://st.hzcdn.com/fimgs/747146f30a45b0a8_0327-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/6181a1d50a45b0aa_6651-w65-h65-b1-p0--.jpg
"Corsica Dark Round Dining Table With 1-18"" Leaf","['acacia dining table', 'chunky dining table', 'dining table', 'distressed dining table', 'round dining table', 'rustic dining table', 'solid dining table', 'wood dining table', 'wooden dining table']",https://st.hzcdn.com/fimgs/db910a980e751aaa_5823-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/9081deb20e751aad_5823-w65-h65-b0-p0--.jpg
Home Styles French Countryside Pedestal Table in Oak and Rubbed White,"['Dining', 'distressed oak', 'Home Styles', 'home styles dining tables>dining tables', 'pedestal', 'pedestal table;home styles;ready to assemble;home styles', 'rubbed white finish', 'table', 'traditional', 'wood']",https://st.hzcdn.com/fimgs/efc13d370f9a01c4_2733-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/d01167040f9a01c7_2733-w65-h65-b1-p0--.jpg
"Borghese Dining Table, 60"" Round","['bassett mirror', 'bassett mirror borghese dining table 8311-601-906ec', 'bassett mirror company dining tables>dining tables', 'benjamin rugs & furniture']",https://st.hzcdn.com/fimgs/14216e260a876778_1992-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/1fe152030a876779_1992-w65-h65-b1-p0--.jpg
A.R.T. Home Furnishings Arch Salvage Pearce Dining Table,['dining tables'],https://st.hzcdn.com/fimgs/9b91fb1a0c0fde18_0152-w65-h65-b1-p0--.jpg,https://cf-images.us-east-1.prod.boltdns.net/v1/jit/4186268161001/09416b45-e83d-4233-bc19-d342360a9994/main/300x300/27s274ms/match/image.jpg
"Rasmus Extension Dining Table, Chestnut Wire-Brush","['77334', 'acacia', 'acacia wood', 'Boraam', 'Boraam Industries', 'chestnut', 'Dining', 'dining table', 'drop leaf', 'drop leaf dining table', 'Inc.', 'rasmus', 'table', 'wire-brush', 'wood']",https://st.hzcdn.com/fimgs/f5f11a970c13f584_2504-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/099116c80c13f585_2504-w65-h65-b0-p0--.jpg
"Corsica Dark Round Dining Table, Dark Base and Light Top","['acacia dining table', 'chunky dining table', 'dining table', 'distressed dining table', 'round dining table', 'rustic dining table', 'solid dining table', 'wood dining table', 'wooden dining table']",https://st.hzcdn.com/fimgs/79b18f670e751a96_7595-w65-h65-b1-p0--.jpg,https://cf-images.us-east-1.prod.boltdns.net/v1/jit/4186268161001/bbfdf541-bfdf-48d6-a0db-cbde3a64a6da/main/300x300/29s245ms/match/image.jpg
Manon Round Dining Table,"['Dining', 'manon', 'round', 'table']",https://st.hzcdn.com/fimgs/3981612a0d51c367_5383-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/9031537d0d51c36a_5383-w65-h65-b1-p0--.jpg
Crawford Round Dining Table,"['classic table', 'dining table', 'grand table', 'hardwood', 'round table', 'teak furniture', 'teak table', 'traditional table', 'wooden table']",https://st.hzcdn.com/fimgs/06b1eb9205c51956_1893-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/4a11db0705c51957_1893-w65-h65-b1-p0--.jpg
"Poly and Bark Daisy 20"" Marble Side Table, White","['Black Marble Table', 'contemporary', 'eero saarinen tulip side  table', 'marble', 'marble side table', 'marble table', 'mid century modern', 'mid-century', 'modern', 'side table', 'table', 'White Marble Table', 'white top table']",https://st.hzcdn.com/fimgs/b641b5fb067315a8_2859-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/a1619d63067315a9_2859-w65-h65-b1-p0--.jpg
"30""x48"" Rectangular Laminate Table Top With 24"" Round Table"" Base","['accent table', 'activity table', 'banquet table', 'barheighttable', 'barstool', 'bookrack', 'dining chair', 'dining table', 'dining table set', 'end table', 'folding chairs', 'height stool', 'leather chair', 'lether sofa', 'loveseat', 'marker board', 'microfiber recliner', 'office chairs', 'ottoman set', 'outdoor table', 'padded seat', 'plastic chair', 'sofa', 'stool']",https://st.hzcdn.com/fimgs/e291b7b50ddd15ef_8296-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/3bd1e3940ddd15f0_8296-w65-h65-b1-p0--.jpg
"Lippa 28"" Round Wood Top Dining Table, 47""","['armchair', 'bar set', 'bar stool', 'bar table', 'dining chair', 'dining set', 'side chair']",https://st.hzcdn.com/fimgs/c3a15e4b0c367363_8905-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/580151550c367360_8905-w65-h65-b0-p0--.jpg
