names,described as,image 1,image 2,url
"Cornwall Extension Dining Table 55""/71""","['55 inch dining table', '55"" dining table', '71 inch dining table', 'cornwall collection', 'Cornwall Extension Dining Table', 'cornwall extension dining table 55""/71""', 'cornwall extension table', 'dining table', 'extension dining table', 'farmhouse dining table', 'four hands', 'modern farmhouse', 'traditional dining table']",https://st.hzcdn.com/fimgs/fa8107eb0b1ee6b3_2023-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/df412f9b0b1ee6b4_2023-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/cornwall-extension-dining-table-55-71-prvw-vr~41837585
"Beatriz 60"" Pine Dining Table by Kosas Home","['brown table', 'brown wood table', 'circle table', 'circular table', 'dining table', 'kitchen table', 'round table']",https://st.hzcdn.com/fimgs/3391c14709fb256a_5648-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/70f1929a09fb256d_5648-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/beatriz-60-pine-dining-table-by-kosas-home-prvw-vr~93135398
"Modern Stylish White Faux Marble Dining Table Rectangular Table in Brushed Gold,",[],https://st.hzcdn.com/fimgs/dec1e4d00ecba6b4_7341-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/38611afb0ecba6b9_4110-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/modern-stylish-white-faux-marble-dining-table-rectangular-table-in-brushed-gold-prvw-vr~159862459
"Claridge Sofa, Belfast Stone","['ball feet sofa', 'blue sofa', 'contemporary sofa', 'glamour', 'Jonathan Adler', 'jonathan adler sofa', 'leather sofa', 'modern', 'modern sofa', 'navy sofa', 'sofa', 'white sofa']",https://st.hzcdn.com/fimgs/d4e154f30d781481_0938-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/a77195a00d781483_0938-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/claridge-sofa-belfast-stone-prvw-vr~148592064
"Baxton Studio Acrylic Nesting Table 3 Piece Table, Set Display Stands","['accent table', 'end tables', 'side tables', 'small end tables']",https://st.hzcdn.com/fimgs/f151fc150a8f11b4_6792-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/fea162980a2ed55c_6792-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/baxton-studio-acrylic-nesting-table-3-piece-table-set-display-stands-prvw-vr~160910944
"Lauren Dining Table, Wenge","['Artisan furniture', 'Chic', 'classic modern', 'contemporary furniture', 'extension dining table', 'furniture', 'modern', 'modern furniture', 'rectangle dining table', 'sculptural', 'seats up to 12', 'stylish', 'unique', 'unique designs', 'walnut', 'wenge', 'wood', 'wood dining table', 'wood veneer']",https://st.hzcdn.com/fimgs/d54143dc0877fa25_2739-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/0761495a0877fa26_2739-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/lauren-dining-table-wenge-prvw-vr~79078276
"Sanibel Carved Dining Table, Table Only","['brown', 'Dining', 'leaves', 'Mediterranean', 'Spanish style', 'table', 'traditional', 'wood']",https://st.hzcdn.com/fimgs/3541c9dc0b19a66e_6100-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/42e1f1f60b19a66f_7665-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/sanibel-carved-dining-table-table-only-prvw-vr~62687800
"Faux White Marble Tulip Dining Table, Round Kitchen Table, Glam Gold Table, 60""","['circle', 'glam dining table', 'glamorous regency table', 'gold dining table', 'hollywood regency dining table', 'kitchen table', 'luxe dining table', 'Mid Century Dining Table', 'modern dining table', 'Round Marble Dining Table', 'Saarinen dining table', 'Saarinen Round Dining Table', 'tulip dining table', 'white dining table', 'white marble dining table']",https://st.hzcdn.com/fimgs/87d180980da9f6a4_2051-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/54a1b3730da9f6aa_2050-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/faux-white-marble-tulip-dining-table-round-kitchen-table-glam-gold-table-60-prvw-vr~150256324
"Thompson 10' Linen Sofa, Blanc, Classic Depth","['4 seater sofa', 'bench seat', 'couch', 'custom made sofa', 'handcrafted sofa', 'linen sofa', 'living room furniture', 'Made in USA', 'rolled arm sofa', 'slope arm sofa', 'sofa', 'upholstered sofa', 'white sofa']",https://st.hzcdn.com/fimgs/83f1f8990fc6bfef_1093-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/a9318fcf0fc6bff0_1093-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/thompson-10-linen-sofa-blanc-classic-depth-prvw-vr~127267303
"American Hand Crafted Rustic Dining Table, ""Annapolis"" Rustic Pine Dining Table","['rustic dining table', 'rustic pine dining table', 'rustic round dining table']",https://st.hzcdn.com/fimgs/e8417635091b0ee7_2284-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/e601a23808dd2a3c_2284-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/american-hand-crafted-rustic-dining-table-annapolis-rustic-pine-dining-table-prvw-vr~89299112
"vidaXL Dining Table 45.7"" High Gloss White Dinner Table Home Kitchen Desk","['dining table', 'dining tables', 'dinner table', 'dinner tables', 'furniture', 'high gloss dining table', 'high gloss dining tables', 'high gloss table', 'high gloss tables', 'Kitchen & Dining Room Tables', 'MDF', 'new', 'tables', 'vidaxl', 'white']",https://st.hzcdn.com/fimgs/9601f09a0bdc2a95_5200-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/cfa1d34f0bdc2a97_5200-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/vidaxl-dining-table-45-7-high-gloss-white-dinner-table-home-kitchen-desk-prvw-vr~131625818
